drug_1_name,drug_2_name,drug_1_SMILES,drug_2_SMILES,molecular_interaction,mechanism,evidence,severity
alendronic acid,Indapamide,C(CC(O)(P(=O)(O)O)P(=O)(O)O)CN,CC1CC2=CC=CC=C2N1NC(=O)C3=CC(=C(C=C3)Cl)S(=O)(=O)N,Hydrogen Bonding,"Hydrogen bonds may form between a hydrogen donor (such as -NH or -OH groups) and an acceptor (such as -NH, -OH, or carbonyl oxygen groups) under physiological conditions. This is due to the attractive forces between the partially positive hydrogen and the electronegative atoms with lone pairs.","- SMILES 1 contains a hydroxyl group (-OH) in `CC(O)(P(=O)(O)O)P(=O)(O)O` which can act as a hydrogen bond donor.
- SMILES 2 contains a carbonyl group (C=O) in `NC(=O)C3=CC(=C(C=C3)Cl)S(=O)(=O)N` which can act as a hydrogen bond acceptor.","Moderate - The hydrogen bonding could potentially influence solubility or the interaction of these molecules when in close proximity, which might have implications for pharmacokinetic or pharmacodynamic properties."
Methylphenidate,Terazosin,COC(=O)C(C1CCCCN1)C2=CC=CC=C2,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4CCCO4)N)OC,Hydrogen Bonding,"Hydrogen bonds can form between hydrogen donors (e.g., -NH) and acceptors (e.g., C=O) in polar functional groups.","SMILES 1 contains an oxygen in the ester group (COC(=O)C), which can act as a hydrogen bond acceptor. SMILES 2 possesses an amine group (N) within a triazine derivative, potentially acting as a donor or acceptor depending on the tautomer/ionization state.","Moderate - Hydrogen bonding is a common interaction that can influence pharmacokinetics or binding affinities significantly, but is not typically high-impact unless it dramatically alters drug binding or distribution."
mitomycin C,vincristine,CC1=C(C(=O)C2=C(C1=O)N3CC4C(C3(C2COC(=O)N)OC)N4)N,CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C=O)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O,Hydrogen Bonding,"Hydrogen bonds can form between hydrogen donors such as -NH or -OH groups and acceptors like carbonyl oxygen (=O) due to the presence of partial positive (δ+) and negative (δ−) charges, respectively.","In SMILES 1, the string includes several carbonyl groups (C=O) and an amide (C(=O)N), which can act as hydrogen bond acceptors. In SMILES 2, there is an -OH group attached to a quaternary carbon adjacent to the -CCC sequence, which can act as a hydrogen bond donor.","Low - While these hydrogen bonds may slightly influence binding interactions or solubility, they are likely to have a minor direct pharmacological impact when considered alone."
Diazepam,Perindopril,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,CCCC(C(=O)OCC)NC(C)C(=O)N1C2CCCCC2CC1C(=O)O,Hydrogen Bond Donor-Acceptor,"A carbonyl oxygen in the first molecule can act as a hydrogen bond acceptor, while an amide NH in the second molecule can act as a hydrogen bond donor. This interaction is possible under physiological conditions where hydrogen bonds can stabilize molecular associations.","The carbonyl group in SMILES 1 is represented as C(=O), and the amide NH in SMILES 2 is part of NC(C).",Moderate - Hydrogen bonding can influence drug solubility and receptor binding but may not profoundly affect interactions without specific contexts.
Cetirizine,Pyridostigmine,C1CN(CCN1CCOCC(=O)O)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,C[N+]1=CC=CC(=C1)OC(=O)N(C)C,Pi-Pi Stacking,Pi-pi stacking interactions can occur between the aromatic rings of two molecules. These interactions are stabilized by the overlap of the pi-orbitals in conjugated systems like benzene rings.,"SMILES 1 contains aromatic phenyl rings at C2=CC=CC=C2 and C3=CC=C(C=C3)Cl. SMILES 2 contains an aromatic pyridinium ring, denoted as C[N+]1=CC=CC(=C1).","Moderate - Pi-pi stacking can influence the binding and stability of drug molecules within biological systems, potentially affecting pharmacokinetics and drug interactions."
Methylphenidate,Ziprasidone,COC(=O)C(C1CCCCN1)C2=CC=CC=C2,C1CN(CCN1CCC2=C(C=C3C(=C2)CC(=O)N3)Cl)C4=NSC5=CC=CC=C54,Potential Hydrogen Bond,The secondary amine group in SMILES 1 (N1 in the piperidine ring) could potentially form a hydrogen bond with the carbonyl oxygen in SMILES 2 (C=O in the cyclic lactam).,"SMILES 1 contains a secondary amine (N1 in C1CCCCN1), which can act as a hydrogen bond donor. SMILES 2 contains a carbonyl group (C(=O)N3), providing a potential hydrogen bond acceptor site.",Low - This interaction might not significantly alter the pharmacological profile but could somewhat influence binding affinity or metabolic stability.
Celecoxib,chlortalidone,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F,C1=CC=C2C(=C1)C(=O)NC2(C3=CC(=C(C=C3)Cl)S(=O)(=O)N)O,Hydrogen Bonding,"The sulfonamide group (S(=O)(=O)N) in SMILES 1 can form a hydrogen bond with the hydroxyl group (C2(C3=CC(=C(C=C3)Cl)S(=O)(=O)N)O) in SMILES 2. The presence of the polarized S=O bond provides potential hydrogen bond acceptors in SMILES 1, which can interact with the hydrogen bond donor in the hydroxyl group of SMILES 2.","SMILES 1 contains the group S(=O)(=O)N, where the oxygens are potential hydrogen bond acceptors. SMILES 2 contains the group C2(...)O, where the hydroxyl group can serve as a hydrogen bond donor.","Moderate - Hydrogen bonding could affect the drugs' solubility, stability, or binding properties in a biological context, potentially impacting pharmacological activity."
Aciclovir,Ganciclovir,C1=NC2=C(N1COCCO)NC(=NC2=O)N,C1=NC2=C(N1COC(CO)CO)NC(=NC2=O)N,Hydrogen Bonding,"Hydrogen bonding can occur between donor and acceptor groups present in both molecules. There are potential hydrogen bond donors (NH groups) and acceptors (carbonyl oxygen, nitrogen atoms in heterocycles) in both structures.","- Both SMILES have NH groups (imidazole-like nitrogens and exocyclic NH) that can act as hydrogen bond donors. 
- Each molecule also contains carbonyl groups (C=O) that are capable of accepting hydrogen bonds. 
- Additionally, the ether linkages (-O-) can potentially participate in hydrogen bonding with available hydrogen donors.","Moderate - Given the presence of multiple donor and acceptor groups, there is a moderate likelihood that hydrogen bonding can occur, potentially influencing their binding affinities or solubility characteristics in physiological environments."
Ketoprofen,Lamivudine,CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,C1C(OC(S1)CO)N2C=CC(=NC2=O)N,Hydrogen Bonding,"Hydrogen bonds can form between a hydrogen atom attached to an electronegative atom (such as oxygen or nitrogen) and another electronegative atom possessing a lone pair of electrons (typically, oxygen or nitrogen).","- SMILES 1 contains a carboxylic acid group (C(=O)O) that has an oxygen atom with lone pairs, possibly acting as a hydrogen bond acceptor.
- SMILES 2 includes a hydroxyl group (O), which can act as a hydrogen bond donor because it has an OH group.","Low - While hydrogen bonding can affect drug solubility and interaction, it is a relatively weak interaction in a pharmacological context and would likely have a moderate impact if it does influence activity."
Risedronic acid,Zolpidem,C1=CC(=CN=C1)CC(O)(P(=O)(O)O)P(=O)(O)O,CC1=CC=C(C=C1)C2=C(N3C=C(C=CC3=N2)C)CC(=O)N(C)C,Hydrogen Bonding,"Hydrogen bonding can occur between a hydrogen donor (usually an –OH or –NH group) and a hydrogen acceptor (commonly N, O, or F atoms) in close proximity.","In SMILES 1, there is a –OH group (indicated by the ""O"" in ""CC(O)(P(=O)(O)O)"") that can act as a hydrogen donor. In SMILES 2, there are nitrogen atoms in the pyridine and pyrimidine rings (indicated by the ""N"" in ""N3C=C(C=CC3=N2)"" and ""C2=C(N3C=..."") which can serve as potential hydrogen bond acceptors.",Moderate – Hydrogen bonds are common in drug interactions and can influence binding affinity and selectivity.
