,drug_name,pubmed_id,title,authors,mesh_terms,paper_url
0,Amoxapine,36786368,Preparation and characterization of amoxapine- and naringin-loaded solid lipid nanoparticles: drug-release and molecular-docking studies.,"['Jat S', 'Bhatt M', 'Roychowdhury S', 'Dixit VA', 'Pawar SD', 'Kulhari H', 'Alexander A', 'Kumar P']","['*Amoxapine', 'Molecular Docking Simulation', 'Cytochrome P-450 CYP2D6', 'Cytochrome P-450 CYP3A', 'Lipids/chemistry', '*Nanoparticles/chemistry', 'Particle Size', 'Drug Carriers/chemistry']",https://pubmed.ncbi.nlm.nih.gov/36786368/
1,Amoxapine,3345021,Amoxapine cardiotoxicity.,"['Munger MA', 'Effron BA']","['Adult', 'Amoxapine/*poisoning', 'Dibenzoxazepines/*poisoning', 'Electrocardiography', 'Emergencies', 'Female', 'Heart Arrest/*chemically induced', 'Humans', 'Tachycardia/chemically induced/physiopathology']",https://pubmed.ncbi.nlm.nih.gov/3345021/
2,Amoxapine,423094,"GLC analysis of loxapine, amoxapine, and their metabolites in serum and urine.","['Cooper TB', 'Kelly RG']","['Amoxapine/*blood/*urine', 'Chromatography, Gas', 'Dibenzoxazepines/*blood/*urine', 'Humans', 'Hydroxylation', 'Loxapine/*blood/*urine', 'Methods']",https://pubmed.ncbi.nlm.nih.gov/423094/
3,Amoxapine,6749828,Amoxapine and amitriptyline: serum levels and clinical response in patients with primary unipolar depression.,"['Click MA Jr', 'Zisook S']","['Adolescent', 'Adult', 'Ambulatory Care', 'Amitriptyline/*blood/therapeutic use', 'Amoxapine/*blood/therapeutic use', 'Clinical Trials as Topic', 'Depressive Disorder/blood/*drug therapy/psychology', 'Dibenzoxazepines/*blood', 'Double-Blind Method', 'Humans', 'Middle Aged', 'Nortriptyline/blood', 'Psychiatric Status Rating Scales']",https://pubmed.ncbi.nlm.nih.gov/6749828/
4,Amoxapine,23780763,Development and validation of a sensitive spectrofluorimetric method for the determination of amoxapine in human plasma and urine.,"['Karasakal A', 'Ulu ST']","['Amoxapine/*blood/*urine', 'Antidepressive Agents/*blood/*urine', 'Humans', 'Limit of Detection', 'Male', 'Spectrometry, Fluorescence/*methods']",https://pubmed.ncbi.nlm.nih.gov/23780763/
5,Amoxapine,21082678,Determination of amoxapine and nortriptyline in blood plasma and serum by salt-assisted liquid-liquid microextraction and high-performance liquid chromatography.,"['Gupta M', 'Jain A', 'Verma KK']","['Amoxapine/*blood', 'Chromatography, High Pressure Liquid/*methods', 'Humans', 'Indicators and Reagents', 'Limit of Detection', 'Nortriptyline/*blood', 'Reference Standards', 'Spectrophotometry, Ultraviolet']",https://pubmed.ncbi.nlm.nih.gov/21082678/
6,Amoxapine,9631933,Concurrent high-performance liquid chromatographic measurement of loxapine and amoxapine and of their hydroxylated metabolites in plasma.,"['Hue B', 'Palomba B', 'Giacardy-Paty M', 'Bottai T', 'Alric R', 'Petit P']","['Amoxapine/*blood', 'Antidepressive Agents, Tricyclic/*blood', 'Antipsychotic Agents/*blood', '*Chromatography, High Pressure Liquid/methods', 'Drug Monitoring/*methods/*statistics & numerical data', 'Humans', 'Hydroxylation', 'Linear Models', 'Loxapine/*blood', 'Sensitivity and Specificity']",https://pubmed.ncbi.nlm.nih.gov/9631933/
7,Amoxapine,28152454,"Simultaneous quantification of loxapine, loxapine N-oxide, amoxapine, 8-hydroxyloxapine and 7-hydroxyloxapine in human plasma using LC-MS/MS.","['Meng M', 'Zhao N', 'Pederson CC', 'Harrison E', 'Green C', 'Gorman SH', 'Reuschel S']","['Adolescent', 'Antipsychotic Agents/blood/pharmacokinetics/therapeutic use', 'Child', 'Chromatography, High Pressure Liquid/*methods', 'Humans', 'Limit of Detection', 'Linear Models', 'Loxapine/*analogs & derivatives/*blood/pharmacokinetics/therapeutic use', 'Reproducibility of Results', 'Tandem Mass Spectrometry/*methods']",https://pubmed.ncbi.nlm.nih.gov/28152454/
8,Amoxapine,7621219,Successful treatment of amoxapine-induced refractory status epilepticus with propofol (diprivan).,"['Merigian KS', 'Browning RG', 'Leeper KV']","['Adult', 'Amoxapine/*adverse effects', 'Drug Overdose', 'Female', 'Humans', 'Infusions, Intravenous', 'Propofol/administration & dosage/*therapeutic use', 'Status Epilepticus/*chemically induced/*drug therapy']",https://pubmed.ncbi.nlm.nih.gov/7621219/
9,Amoxapine,6680730,Analysis of blood and tissue for amoxapine and trimipramine.,"['Wu Chen NB', 'Schaffer MI', 'Lin RL', 'Hadac JP', 'Stein RJ']","['Amoxapine/*blood/poisoning', 'Chromatography, Gas', 'Dibenzazepines/*blood', 'Dibenzoxazepines/*blood', '*Forensic Medicine', 'Gas Chromatography-Mass Spectrometry', 'Humans', 'Trimipramine/*blood/poisoning']",https://pubmed.ncbi.nlm.nih.gov/6680730/
10,Disopyramide,11720625,Torsades de pointes due to drug interaction between disopyramide and clarithromycin.,"['Choudhury L', 'Grais IM', 'Passman RS']","['Aged', 'Anti-Arrhythmia Agents/*adverse effects', 'Anti-Bacterial Agents/*adverse effects', 'Clarithromycin/*adverse effects', 'Disopyramide/*adverse effects', 'Drug Interactions', 'Female', 'Humans', 'Torsades de Pointes/*chemically induced']",https://pubmed.ncbi.nlm.nih.gov/11720625/
11,Disopyramide,746466,Clinical and electrophysiological observations with disopyramide in drug-resistant and recurrent symptomatic arrhythmias.,"['Myers JB', 'Millar RN', 'Obel IW']","['Adult', 'Aged', 'Arrhythmias, Cardiac/*drug therapy', 'Depression, Chemical', 'Disopyramide/pharmacology/*therapeutic use', 'Drug Resistance', 'Electrophysiology/methods', 'Female', 'Heart/physiopathology', 'Heart Rate/drug effects', 'Humans', 'Male', 'Middle Aged', 'Pyridines/*therapeutic use', 'Syncope/drug therapy']",https://pubmed.ncbi.nlm.nih.gov/746466/
12,Disopyramide,37688422,Transitioning disopyramide to mavacamten in obstructive hypertrophic cardiomyopathy: A case series and clinical guide.,"['Willeford A', 'Silva Enciso J']","['Humans', '*Disopyramide/therapeutic use', '*Cardiomyopathy, Hypertrophic/drug therapy/chemically induced', 'Benzylamines/adverse effects', 'Adrenergic beta-Antagonists']",https://pubmed.ncbi.nlm.nih.gov/37688422/
13,Disopyramide,884018,Dual effect of disopyramide on atrial and atrioventricular conduction and refractory periods.,"['Birkhead JS', 'Vaughan Williams EM']","['Adolescent', 'Adult', 'Aged', 'Arrhythmias, Cardiac/physiopathology', 'Atrioventricular Node/*drug effects', 'Atropine/pharmacology', 'Disopyramide/*pharmacology', 'Female', 'Heart/innervation', 'Heart Atria/*drug effects', 'Heart Conduction System/*drug effects', 'Heart Ventricles/drug effects', 'Humans', 'Male', 'Middle Aged', 'Neural Conduction/*drug effects', 'Parasympathetic Nervous System/drug effects/physiology', 'Pyridines/*pharmacology', 'Refractory Period, Electrophysiological/*drug effects']",https://pubmed.ncbi.nlm.nih.gov/884018/
14,Disopyramide,3304965,"Disopyramide. A reappraisal of its pharmacodynamic and pharmacokinetic properties, and therapeutic use in cardiac arrhythmias.","['Brogden RN', 'Todd PA']","['Arrhythmias, Cardiac/*drug therapy', 'Disopyramide/metabolism/*pharmacology/therapeutic use', 'Humans', 'Kinetics']",https://pubmed.ncbi.nlm.nih.gov/3304965/
15,Disopyramide,10824133,"Enantioselective binding of propranolol, disopyramide, and verapamil to human alpha(1)-acid glycoprotein.","['Hanada K', 'Ohta T', 'Hirai M', 'Arai M', 'Ogata H']","['Disopyramide/*metabolism', 'Humans', 'Orosomucoid/*metabolism', 'Propranolol/*metabolism', 'Protein Binding', 'Stereoisomerism', 'Verapamil/*metabolism']",https://pubmed.ncbi.nlm.nih.gov/10824133/
16,Disopyramide,4061965,The anticholinergic side effects of disopyramide and controlled-release disopyramide.,['Teichman S'],"['Delayed-Action Preparations', 'Disopyramide/administration & dosage/*adverse effects/metabolism/therapeutic use', 'Drug Interactions', 'Drug Therapy, Combination', 'Humans', 'Pyridostigmine Bromide/administration & dosage/metabolism/therapeutic use', 'Tachycardia/drug therapy', 'Urination Disorders/drug therapy/etiology/prevention & control', 'Xerostomia/drug therapy/etiology/prevention & control']",https://pubmed.ncbi.nlm.nih.gov/4061965/
17,Disopyramide,4006374,Kinetics and dynamics of disopyramide and its dealkylated metabolite in healthy subjects.,"['Chiang WT', 'von Bahr C', 'Calissendorff B', 'Dahlqvist R', 'Emilsson H', 'Magnusson A', 'Schenck-Gustafsson K']","['Adult', 'Chromatography, High Pressure Liquid', 'Disopyramide/*analogs & derivatives/blood/*metabolism', 'Double-Blind Method', 'Drug Evaluation', 'Electrocardiography', 'Female', 'Heart Rate/drug effects', 'Humans', 'Infusions, Parenteral', 'Kinetics', 'Male', 'Pupil/drug effects', 'Salivation/drug effects']",https://pubmed.ncbi.nlm.nih.gov/4006374/
18,Disopyramide,7299695,Concentration-dependence of disopyramide binding to plasma protein and its influence on kinetics and dynamics.,"['Lima JJ', 'Boudoulas H', 'Blanford M']","['Binding Sites', 'Blood Proteins/metabolism', 'Disopyramide/*blood/pharmacology', 'Heart Rate/drug effects', 'Humans', 'In Vitro Techniques', 'Kinetics', 'Myocardial Contraction/drug effects', 'Orosomucoid/metabolism', 'Protein Binding', 'Pyridines/*blood']",https://pubmed.ncbi.nlm.nih.gov/7299695/
19,Disopyramide,1724233,Evaluation of disopyramide and mexiletine used alone and in combination for ventricular arrhythmias in patients with and without overt heart disease.,"['Tanabe T', 'Takahashi K', 'Yoshioka K', 'Goto Y']","['Administration, Oral', 'Adult', 'Aged', 'Cardiac Complexes, Premature/complications/*drug therapy', 'Cardiomyopathy, Dilated/physiopathology', 'Cardiomyopathy, Hypertrophic/physiopathology', 'Disopyramide/administration & dosage/adverse effects/blood/*therapeutic use', 'Drug Combinations', 'Drug Evaluation', 'Electrocardiography, Ambulatory/drug effects', 'Female', 'Heart Diseases/complications/*physiopathology', 'Humans', 'Hypertension/physiopathology', 'Male', 'Mexiletine/administration & dosage/adverse effects/blood/*therapeutic use', 'Middle Aged', 'Myocardial Infarction/physiopathology', 'Pulmonary Heart Disease/physiopathology']",https://pubmed.ncbi.nlm.nih.gov/1724233/
20,Disopyramide,22687589,A primer of disopyramide treatment of obstructive hypertrophic cardiomyopathy.,"['Sherrid MV', 'Arabadjian M']","['Anti-Arrhythmia Agents/*therapeutic use', 'Cardiomyopathy, Hypertrophic/*drug therapy/etiology', 'Disopyramide/*therapeutic use', 'Heart Failure/prevention & control', 'Humans', 'Ventricular Outflow Obstruction/complications/*drug therapy']",https://pubmed.ncbi.nlm.nih.gov/22687589/
21,Disopyramide,885947,High-pressure liquid chromatographic analysis of drugs in biological fluids. III. Analysis of disopyramide and its mono-N-dealkylated metabolite in plasma and urine.,"['Meffin PJ', 'Harpat SR', 'Harrison DC']","['Chromatography, High Pressure Liquid/methods', 'Dealkylation', 'Disopyramide/*analysis/blood/urine', 'Humans', 'Pyridines/*analysis']",https://pubmed.ncbi.nlm.nih.gov/885947/
22,Disopyramide,11758636,Enantioselective binding of disopyramide to alpha1-acid glycoprotein and its variants.,"['Kishino S', 'Itoh S', 'Nakagawa T', 'Miyazaki K']","['Anti-Arrhythmia Agents/*chemistry', 'Binding Sites', 'Chromatography, High Pressure Liquid', 'Disopyramide/*chemistry', 'Humans', 'In Vitro Techniques', 'Orosomucoid/*chemistry', 'Protein Binding', 'Protein Isoforms', 'Stereoisomerism']",https://pubmed.ncbi.nlm.nih.gov/11758636/
23,Iodixanol,27378442,Purification of infectious and non-infectious chlamydial particles using iodixanol for density gradient preparation.,"['Beder T', 'Scheven MT', 'Praetzsch D', 'Westermann M', 'Saluz HP']","['Cell Line', 'Chlamydia/classification/*isolation & purification', 'Colony Count, Microbial', 'Contrast Media/*chemistry', 'Humans', 'RNA, Bacterial/*isolation & purification', 'RNA, Ribosomal, 16S/isolation & purification', 'Triiodobenzoic Acids/*chemistry']",https://pubmed.ncbi.nlm.nih.gov/27378442/
24,Iodixanol,29048268,Density separation of quiescent yeast using iodixanol.,"['Quasem I', 'Luby CJ', 'Mace CR', 'Fuchs SM']","['Cell Separation/economics/*methods', 'Centrifugation, Density Gradient/economics/*methods', 'Cost-Benefit Analysis', '*Resting Phase, Cell Cycle/drug effects', 'Saccharomyces cerevisiae/drug effects/*isolation & purification/physiology', 'Time Factors', 'Triiodobenzoic Acids/pharmacology']",https://pubmed.ncbi.nlm.nih.gov/29048268/
25,Iodixanol,32015003,Enrichment of Fully Packaged Virions in Column-Purified Recombinant Adeno-Associated Virus (rAAV) Preparations by Iodixanol Gradient Centrifugation Followed by Anion-Exchange Column Chromatography.,"['Sena-Esteves M', 'Gao G']","['Anions', 'Centrifugation/*methods', 'Chromatography, Ion Exchange/instrumentation/*methods', 'Dependovirus/genetics/*isolation & purification', 'Genetic Vectors/genetics/*isolation & purification', 'Hydrogen-Ion Concentration', 'Recombination, Genetic', 'Reproducibility of Results', 'Temperature', 'Triiodobenzoic Acids/*chemistry', 'Viral Genome Packaging', 'Virion/*genetics']",https://pubmed.ncbi.nlm.nih.gov/32015003/
