,drug_name,pubmed_id,title,authors,mesh_terms,paper_url
0,ciprofloxacin,3292209,"Ciprofloxacin. A review of its antibacterial activity, pharmacokinetic properties and therapeutic use.","['Campoli-Richards DM', 'Monk JP', 'Price A', 'Benfield P', 'Todd PA', 'Ward A']","['Animals', 'Bacteria/drug effects', 'Bacterial Infections/*drug therapy', 'Ciprofloxacin/pharmacokinetics/*pharmacology/therapeutic use', 'Humans']",https://pubmed.ncbi.nlm.nih.gov/3292209/
1,ciprofloxacin,2667104,Tolerance of intravenous ciprofloxacin.,"['Thorsteinsson SB', 'Rahm V', 'Bergan T']","['Ciprofloxacin/*administration & dosage/adverse effects', 'Drug Tolerance', 'Evaluation Studies as Topic', 'Humans', 'Infusions, Intravenous']",https://pubmed.ncbi.nlm.nih.gov/2667104/
2,ciprofloxacin,3281368,Ciprofloxacin in management of urinary tract infection.,"['Tolkoff-Rubin NE', 'Rubin RH']","['Bacterial Infections/*drug therapy', 'Ciprofloxacin/adverse effects/pharmacokinetics/*therapeutic use', 'Humans', 'Male', 'Microbial Sensitivity Tests', 'Prostatitis/drug therapy', 'Urinary Tract Infections/*drug therapy']",https://pubmed.ncbi.nlm.nih.gov/3281368/
3,ciprofloxacin,21075583,Ciprofloxacin-induced torsade de pointes.,"['Ibrahim M', 'Omar B']","['Aged', 'Anti-Infective Agents/*adverse effects/therapeutic use', 'Ciprofloxacin/*adverse effects/therapeutic use', 'Electrocardiography', 'Heart/drug effects/physiopathology', 'Humans', 'Male', 'Torsades de Pointes/*chemically induced/physiopathology', 'Treatment Outcome', 'Urinary Tract Infections/drug therapy']",https://pubmed.ncbi.nlm.nih.gov/21075583/
4,ciprofloxacin,19534690,Efficacy of fluoroquinolones against pathogenic oral bacteria.,"['Nunez Otero V', 'Limeres Posse J', 'Carmona IT', 'Diz Dios P']","['Aza Compounds/chemistry/pharmacokinetics/pharmacology/*therapeutic use', 'Bacteria/drug effects', 'Bacterial Infections/*drug therapy', 'Ciprofloxacin/chemistry/pharmacokinetics/pharmacology/*therapeutic use', 'Fluoroquinolones/chemistry/pharmacokinetics/pharmacology/*therapeutic use', 'Humans', '*Levofloxacin', 'Mouth Diseases/*drug therapy', 'Moxifloxacin', 'Ofloxacin/chemistry/pharmacokinetics/pharmacology/*therapeutic use', '*Oral Medicine', 'Quinolines/chemistry/pharmacokinetics/pharmacology/*therapeutic use']",https://pubmed.ncbi.nlm.nih.gov/19534690/
5,ciprofloxacin,15243351,"[Pharmacokinetics and dose adaptation of ofloxacine, pefloxacine and ciprofloxacine during haemodialysis and continuous ambulatory peritoneal dialysis].","['Daniel JP', 'Moulin B', 'Christmann D']","['Anti-Infective Agents/*administration & dosage/*pharmacokinetics', 'Ciprofloxacin/*administration & dosage/*pharmacokinetics', 'Fluoroquinolones/*administration & dosage/*pharmacokinetics', 'Humans', 'Kidney Failure, Chronic/*metabolism', 'Ofloxacin/*administration & dosage/*pharmacokinetics', '*Peritoneal Dialysis, Continuous Ambulatory', '*Renal Dialysis', 'Pefloxacin']",https://pubmed.ncbi.nlm.nih.gov/15243351/
6,ciprofloxacin,38970065,"An open-label, randomized, non-inferiority trial of the efficacy and safety of ciprofloxacin versus an aminoglycoside + ciprofloxacin in the treatment of bubonic plague (IMASOY): study protocol for a randomized control trial-an update to the published protocol.","['Randremanana RV', 'Raberahona M', 'de Dieu Randria MJ', 'Bourner J', 'Zadonirina G', 'Razananaivo H', 'Mayouya-Gamana T', 'Mangahasimbola R', 'Pesonel E', 'Gillesen A', 'Rajerison M', 'Andrianaivoarimanana V', 'Edwards T', 'Horby P', 'Olliaro P']","['*Ciprofloxacin/adverse effects/administration & dosage/therapeutic use', 'Treatment Outcome', 'Humans', '*Anti-Bacterial Agents/adverse effects/administration & dosage/therapeutic use', 'Plague/drug therapy', 'Randomized Controlled Trials as Topic', 'Equivalence Trials as Topic', 'Drug Therapy, Combination', 'Animals', 'Aminoglycosides/adverse effects/administration & dosage/therapeutic use']",https://pubmed.ncbi.nlm.nih.gov/38970065/
7,ciprofloxacin,12869605,Fluoroquinolone therapy and Achilles tendon rupture.,"['Vanek D', 'Saxena A', 'Boggs JM']","['Achilles Tendon/*drug effects', 'Adult', 'Aged', 'Anti-Infective Agents/*adverse effects/therapeutic use', 'Ciprofloxacin/*adverse effects/therapeutic use', 'Female', 'Humans', 'Male', 'Middle Aged', 'Muscular Diseases/chemically induced', 'Risk Factors', 'Rupture', 'Tendon Injuries/*chemically induced']",https://pubmed.ncbi.nlm.nih.gov/12869605/
8,ciprofloxacin,25680964,[DRESS syndrome induced by ciprofloxacine].,"['Sahnoun R', 'El Aidli S', 'Zaiem A', 'Lakhoua G', 'Kastalli S', 'Daghfous R']","['Anti-Bacterial Agents/*adverse effects', 'Ciprofloxacin/*adverse effects', 'Drug Hypersensitivity Syndrome/*etiology', 'Female', 'Humans', 'Middle Aged']",https://pubmed.ncbi.nlm.nih.gov/25680964/
9,ciprofloxacin,29637871,Community Acquired Pseudomonas Aeruginosa Pneumonia in a Young Athlete Man: A Case Report and Literature Review.,"['Rahdar HA', 'Kazemian H', 'Bimanand L', 'Shahraki-Zahedani S', 'Feyisa SG', 'Taki E', 'Havaei SA', 'Karami-Zarandi M']","['Adult', '*Athletes', 'Ciprofloxacin/administration & dosage/therapeutic use', 'Community-Acquired Infections/complications/*diagnosis/drug therapy/microbiology', 'Cross Infection/complications/diagnosis/drug therapy/microbiology', 'Fatal Outcome', 'Female', 'Humans', 'Male', 'Middle Aged', 'Pneumonia/complications/*diagnosis/drug therapy/microbiology', 'Pseudomonas Infections/complications/*diagnosis/drug therapy/microbiology', 'Pseudomonas aeruginosa/drug effects/*pathogenicity', 'Risk Factors', 'Smoking/adverse effects', 'Thoracic Injuries/complications', 'Time Factors']",https://pubmed.ncbi.nlm.nih.gov/29637871/
10,ciprofloxacin,2924060,Ciprofloxacin.,"['Smyth EG', 'Pallet AP']","['Ciprofloxacin/pharmacokinetics/pharmacology/*therapeutic use', 'Humans']",https://pubmed.ncbi.nlm.nih.gov/2924060/
11,ciprofloxacin,22645722,Inhaled antibiotics for lower respiratory tract infections: focus on ciprofloxacin.,['Serisier DJ'],"['Administration, Inhalation', 'Animals', 'Anti-Bacterial Agents/administration & dosage/adverse effects/pharmacology/*therapeutic use', 'Bronchiectasis/drug therapy', 'Ciprofloxacin/administration & dosage/adverse effects/pharmacology/*therapeutic use', 'Clinical Trials as Topic', 'Cystic Fibrosis/*drug therapy', 'Humans', 'Liposomes/administration & dosage', 'Nebulizers and Vaporizers', 'Pseudomonas Infections/drug therapy', 'Pulmonary Disease, Chronic Obstructive/drug therapy', 'Respiratory Tract Infections/*drug therapy']",https://pubmed.ncbi.nlm.nih.gov/22645722/
12,ciprofloxacin,18979434,[Fluorquinolone associated tendon rupture].,"['Ratz Bravo A', 'Stoll R', 'Burr P', 'Haschke M']","['Achilles Tendon/*drug effects/injuries', 'Adult', 'Adverse Drug Reaction Reporting Systems', 'Aged', 'Aged, 80 and over', 'Anti-Bacterial Agents/*adverse effects/therapeutic use', 'Athletic Injuries/*chemically induced', 'Chlamydia Infections/drug therapy', 'Ciprofloxacin/adverse effects/therapeutic use', 'Female', 'Fluoroquinolones/*adverse effects/therapeutic use', 'Humans', 'Male', 'Middle Aged', 'Ofloxacin/adverse effects/therapeutic use', 'Risk Factors', 'Rupture, Spontaneous', 'Soccer/*injuries', 'Switzerland', 'Tendon Injuries/*chemically induced', 'Urethritis/drug therapy']",https://pubmed.ncbi.nlm.nih.gov/18979434/
13,ciprofloxacin,31556841,Evolving Antibiotic Resistance of Aeromonas Species in Finger Replantation.,"['Mokhtar K', 'Culnan DM', 'Lineaweaver WC']","['Aeromonas/*drug effects', 'Anti-Bacterial Agents/*pharmacology/therapeutic use', 'Cefepime/pharmacology/therapeutic use', 'Ciprofloxacin/pharmacology/therapeutic use', 'Drug Resistance, Microbial/*drug effects', 'Humans', 'Leeching/adverse effects/*methods', 'Microbial Sensitivity Tests', 'Replantation/adverse effects/*methods']",https://pubmed.ncbi.nlm.nih.gov/31556841/
