,protein_name,pubmed_id,title,authors,mesh_terms,paper_url
0,HRH1,34822775,The allergy mediator histamine confers resistance to immunotherapy in cancer patients via activation of the macrophage histamine receptor H1.,"['Li H', 'Xiao Y', 'Li Q', 'Yao J', 'Yuan X', 'Zhang Y', 'Yin X', 'Saito Y', 'Fan H', 'Li P', 'Kuo WL', 'Halpin A', 'Gibbons DL', 'Yagita H', 'Zhao Z', 'Pang D', 'Ren G', 'Yee C', 'Lee JJ', 'Yu D']","['Cell Line, Tumor/drug effects', 'Histamine/*metabolism', 'Humans', 'Immune Tolerance/immunology', '*Immunotherapy/methods', 'Macrophages/immunology', 'Neoplasms/*drug therapy/immunology', 'Receptors, Histamine/immunology/metabolism', 'Tumor Microenvironment/*drug effects/immunology']",https://pubmed.ncbi.nlm.nih.gov/34822775/
1,HRH1,38458750,Function of mast cell and bile-cholangiocarcinoma interplay in cholangiocarcinoma microenvironment.,"['Shi A', 'Liu Z', 'Fan Z', 'Li K', 'Liu X', 'Tang Y', 'Hu J', 'Li X', 'Shu L', 'Zhao L', 'Huang L', 'Zhang Z', 'Lv G', 'Zhang Z', 'Xu Y']","['*Cholangiocarcinoma/metabolism/pathology/genetics', '*Mast Cells/metabolism', '*Bile Duct Neoplasms/metabolism/pathology/genetics', 'Animals', 'Humans', '*Tumor Microenvironment', 'Mice', 'Bile/metabolism', 'Receptors, G-Protein-Coupled/metabolism/genetics', 'Receptors, Histamine/metabolism', 'Histamine/metabolism', 'Cell Proliferation', 'Cancer-Associated Fibroblasts/metabolism/pathology', 'Cell Degranulation']",https://pubmed.ncbi.nlm.nih.gov/38458750/
2,HRH1,19450133,Histamine pharmacogenomics.,"['Garcia-Martin E', 'Ayuso P', 'Martinez C', 'Blanca M', 'Agundez JA']","['Amine Oxidase (Copper-Containing)/*genetics', 'Amino Acid Substitution', 'Genetic Variation', 'Histamine/*genetics', 'Histamine N-Methyltransferase/*genetics', 'Histidine Decarboxylase/*genetics', 'Humans', 'Pharmacogenetics/methods', '*Polymorphism, Genetic', 'Promoter Regions, Genetic/genetics', 'Receptors, Histamine/*genetics']",https://pubmed.ncbi.nlm.nih.gov/19450133/
3,HRH1,38953634,The histamine receptor H1 acts as an alternative receptor for SARS-CoV-2.,"['Yu F', 'Liu X', 'Ou H', 'Li X', 'Liu R', 'Lv X', 'Xiao S', 'Hu M', 'Liang T', 'Chen T', 'Wei X', 'Zhang Z', 'Liu S', 'Liu H', 'Zhu Y', 'Liu G', 'Tu T', 'Li P', 'Zhang H', 'Pan T', 'Ma X']","['Humans', '*SARS-CoV-2/drug effects/physiology', 'Animals', '*Angiotensin-Converting Enzyme 2/metabolism', 'Mice', '*Virus Internalization/drug effects', '*Receptors, Histamine H1/metabolism', '*Spike Glycoprotein, Coronavirus/metabolism/genetics', 'COVID-19/virology/metabolism', 'HEK293 Cells', 'COVID-19 Drug Treatment', 'Receptors, Virus/metabolism', 'Protein Binding', 'Histamine Antagonists/pharmacology', 'Antiviral Agents/pharmacology']",https://pubmed.ncbi.nlm.nih.gov/38953634/
4,HRH1,38715057,Blockade of histamine receptor H1 augments immune checkpoint therapy by enhancing MHC-I expression in pancreatic cancer cells.,"['Zhong P', 'Nakata K', 'Oyama K', 'Higashijima N', 'Sagara A', 'Date S', 'Luo H', 'Hayashi M', 'Kubo A', 'Wu C', 'He S', 'Yamamoto T', 'Koikawa K', 'Iwamoto C', 'Abe T', 'Ikenaga N', 'Ohuchida K', 'Morisaki T', 'Oda Y', 'Kuba K', 'Nakamura M']","['Humans', '*Pancreatic Neoplasms/drug therapy/metabolism/pathology/genetics', '*Immune Checkpoint Inhibitors/pharmacology/therapeutic use', 'Mice', 'Animals', 'Receptors, Histamine H1/metabolism/genetics', 'Histocompatibility Antigens Class I/metabolism/genetics', 'Cell Line, Tumor', 'Female', 'Histamine H1 Antagonists/pharmacology/therapeutic use', 'Male']",https://pubmed.ncbi.nlm.nih.gov/38715057/
5,HRH1,38955315,Pathophysiological role of histamine signaling and its implications in glioblastoma.,"['Yadav P', 'Vengoji R', 'Jain M', 'Batra SK', 'Shonka N']","['Humans', '*Glioblastoma/pathology/metabolism/drug therapy', '*Histamine/metabolism', '*Brain Neoplasms/pathology/metabolism/drug therapy', '*Signal Transduction', '*Tumor Microenvironment', 'Animals', 'Histamine Antagonists/therapeutic use/pharmacology']",https://pubmed.ncbi.nlm.nih.gov/38955315/
6,HRH1,33080103,Histamine receptor 1 is expressed in leukaemic cells and affects differentiation sensitivity.,"['Cornet-Masana JM', 'Banus-Mulet A', 'Cuesta-Casanovas L', 'Carbo JM', 'Guijarro F', 'Torrente MA', 'Esteve J', 'Risueno RM']","['Biomarkers', 'Cell Differentiation/*genetics', 'Cell Line, Tumor', '*Gene Expression Regulation, Leukemic', 'Hematopoiesis/genetics', 'Humans', 'Immunohistochemistry', 'Immunophenotyping', 'Leukemia, Myeloid, Acute/genetics/metabolism/pathology', 'Receptors, Histamine H1/*genetics/metabolism']",https://pubmed.ncbi.nlm.nih.gov/33080103/
7,HRH1,37474883,"The Roles of Histamine Receptor 1 (hrh1) in Neurotransmitter System Regulation, Behavior, and Neurogenesis in Zebrafish.","['Yao Y', 'Baronio D', 'Chen YC', 'Jin C', 'Panula P']","['Animals', 'Humans', 'Histamine/metabolism', '*Neurogenesis', 'Neurotransmitter Agents/metabolism', 'Orexins/metabolism', '*Receptors, Histamine H1/genetics/metabolism', '*Zebrafish/growth & development']",https://pubmed.ncbi.nlm.nih.gov/37474883/
8,HRH1,39462031,Histamine stimulates human microglia to alter cellular prion protein expression via the HRH2 histamine receptor.,"['Pehar M', 'Hewitt M', 'Wagner A', 'Sandhu JK', 'Khalili A', 'Wang X', 'Cho JY', 'Sim VL', 'Kulka M']","['Humans', '*Microglia/metabolism/drug effects', '*Histamine/pharmacology/metabolism', 'Cell Line', '*Receptors, Histamine H2/metabolism/genetics', '*Calcium/metabolism', 'PrPC Proteins/metabolism/genetics', 'Cytokines/metabolism', 'Gene Expression Regulation/drug effects', 'Receptors, Histamine/metabolism']",https://pubmed.ncbi.nlm.nih.gov/39462031/
9,HRH1,36000734,Mycobacterium tuberculosis Utilizes Host Histamine Receptor H1 to Modulate Reactive Oxygen Species Production and Phagosome Maturation via the p38MAPK-NOX2 Axis.,"['Mo S', 'Guo J', 'Ye T', 'Zhang X', 'Zeng J', 'Xu Y', 'Peng B', 'Dai Y', 'Xiao W', 'Zhang P', 'Deng G', 'Xu D', 'Long X', 'Cai Y', 'Chen X']","['Humans', '*Mycobacterium tuberculosis/genetics', 'Reactive Oxygen Species/metabolism', 'p38 Mitogen-Activated Protein Kinases/metabolism', 'Histamine', '*Tuberculosis/microbiology', 'Antitubercular Agents', 'Phagosomes/microbiology', 'Nitrogen/metabolism']",https://pubmed.ncbi.nlm.nih.gov/36000734/
