drug_name,relationship,protein_name
Azelastine,binding and inhibition,HRH1
Loxapine,binding and inhibition,CHRM1
Loxapine,binding and inhibition,HRH2
Loxapine,binding and inhibition,CHRM4
Loxapine,binding and inhibition,CHRM3
Loxapine,binding and inhibition,HRH1
Loxapine,binding and inhibition,ADRA2C
Loxapine,binding and inhibition,ADRA2A
Loxapine,binding and inhibition,ADRA1B
Loxapine,binding and inhibition,CHRM5
Loxapine,binding and inhibition,ADRA1A
Metoprolol,binding and inhibition,ADRB1
Metoprolol,binding and inhibition,ADRA2C
Metoprolol,binding and activation,GRPR
Metoprolol,binding and inhibition,ADRA2A
Metoprolol,binding and activation,PTGIR
Metoprolol,binding and activation,HRH3
Brimonidine,binding and activation,ADRA2C
Brimonidine,binding and activation,ADRA2A
Carvedilol,binding and inhibition,ADRB1
Carvedilol,binding and inhibition,ADRB3
Carvedilol,binding and inhibition,ADRA1A
Formoterol,binding and activation,ADRB1
Formoterol,binding and activation,ADRB3
Trimipramine,binding and inhibition,HRH1
Pyrimethamine,binding and inhibition,CHRM1
Dobutamine,binding and activation,ADRB1
Desloratadine,binding and inhibition,HRH1
Carbachol,binding and activation,CHRM4
Carbachol,binding and activation,CHRM3
Carbachol,binding and activation,CHRM5
Carbachol,binding and activation,CHRM1
Bethanechol,binding and activation,CHRM1
Bethanechol,binding and activation,CHRM4
Bethanechol,binding and activation,CHRM3
chlorphenamine,binding and inhibition,HRH1
Doxazosin,binding and inhibition,ADRA1D
Doxazosin,binding and inhibition,ADRA1B
Doxazosin,binding and inhibition,ADRA1A
Terazosin,binding and inhibition,ADRA1D
Terazosin,binding and inhibition,ADRA1B
Terazosin,binding and inhibition,ADRA1A
Trazodone,binding and inhibition,HRH1
Trazodone,binding and inhibition,ADRA2A
Trazodone,binding and inhibition,ADRA2C
Trazodone,binding and inhibition,ADRA1A
Pilocarpine,binding and activation,CHRM1
Fluphenazine,binding and inhibition,HRH2
Fluphenazine,binding and inhibition,HRH1
Fluphenazine,binding and inhibition,ADRA2C
Fluphenazine,binding and inhibition,ADRA2A
Fluphenazine,binding and inhibition,ADRA1B
Fluphenazine,binding and inhibition,ADRA1A
Cimetidine,binding and inhibition,HRH2
Orphenadrine,binding and inhibition,HRH1
Alfuzosin,binding and inhibition,ADRA1A
Haloperidol,binding and inhibition,HRH1
Haloperidol,binding and inhibition,ADRA2C
Haloperidol,binding and inhibition,ADRA2A
Haloperidol,binding and inhibition,ADRA1B
Haloperidol,binding and inhibition,CHRM5
Haloperidol,binding and inhibition,ADRA1A
oxybutynin,binding and inhibition,CHRM1
Labetalol,binding and inhibition,ADRB1
Labetalol,binding and inhibition,ADRA2C
Labetalol,binding and inhibition,ADRB3
Labetalol,binding and inhibition,ADRA2A
Labetalol,binding and inhibition,ADRA1D
Labetalol,binding and inhibition,ADRA1B
Labetalol,binding and inhibition,ADRA1A
Zafirlukast,binding and inhibition,CYSLTR1
Methylphenidate,binding and inhibition,ADRA2C
Desipramine,binding and inhibition,CHRM1
Desipramine,binding and inhibition,CHRM5
Desipramine,binding and inhibition,CHRM4
Desipramine,binding and inhibition,CHRM3
Desipramine,binding and activation,ADRB1
Desipramine,binding and inhibition,HRH1
Perphenazine,binding and inhibition,HRH1
Perphenazine,binding and inhibition,ADRA2C
Perphenazine,binding and inhibition,ADRA2A
Perphenazine,binding and inhibition,ADRA1A
Salmeterol,binding and activation,ADRB1
Salmeterol,binding and activation,ADRB3
