STITCH 1,STITCH 2,Polypharmacy Side Effect,Side Effect Name
CID000002173,CID000003345,C0151714,hypermagnesemia
CID000002173,CID000004873,C0042384,angiitis
CID000002173,CID000003016,C0042384,angiitis
CID000002173,CID000004253,C0497156,Adenopathy
CID000002173,CID000005372,C0013221,drug toxicity NOS
CID000002173,CID000003672,C0008325,cholecystitis
CID000002173,CID000004583,C0038454,apoplexy
CID000002173,CID000003640,C0013221,drug toxicity NOS
CID000002173,CID000006691,C0041834,erythema
CID000002173,CID000004595,C0497156,Adenopathy
CID000002173,CID000003715,C0009782,connective tissue disease
CID000002173,CID000005732,C0008325,cholecystitis
CID000002173,CID000004168,C0497156,Adenopathy
CID000002173,CID000004943,C0497156,Adenopathy
CID000002173,CID000005496,C0005779,Clotting
CID000002173,CID000002249,C0043096,loss of weight
CID000002173,CID000002244,C0008325,cholecystitis
CID000002173,CID000002656,C0013362,dysarthria
CID000002173,CID000002650,C0151611,abnormal EEG
CID000002173,CID000005726,C0022346,icterus
CID000002173,CID000003467,C0035344,retinopathy of prematurity
CID000002173,CID000004691,C0008325,cholecystitis
CID000002173,CID000002764,C0011854,insulin dependent diabetes mellitus
CID000002173,CID000003325,C0011854,insulin dependent diabetes mellitus
CID000002173,CID000005039,C0017152,gastric inflammation
CID000002173,CID000087177,C0011854,insulin dependent diabetes mellitus
CID000002173,CID000004159,C0013221,drug toxicity NOS
CID000002173,CID000005651,C0522055,abnormal ECG
CID000002173,CID003468412,C0035344,retinopathy of prematurity
CID000002173,CID000002269,C0011854,insulin dependent diabetes mellitus
CID000002173,CID000004173,C0011854,insulin dependent diabetes mellitus
CID000002173,CID000003440,C0004604,Back Ache
CID000002173,CID000003062,C0011854,insulin dependent diabetes mellitus
CID000002173,CID000003003,C0497156,Adenopathy
CID000002173,CID000004894,C0699744,ear infection
CID000002173,CID000004900,C0017152,gastric inflammation
CID000002173,CID000002617,C0038454,apoplexy
CID000003345,CID000060843,C0042384,angiitis
CID000003345,CID000003367,C0497156,Adenopathy
CID000003345,CID000056959,C0006444,bursitis
CID000003345,CID000004091,C0497156,Adenopathy
CID000003345,CID000004547,C0038454,apoplexy
CID000003345,CID000004542,C0008031,chest pain
CID000003345,CID000123606,C0043096,loss of weight
CID000003345,CID000003467,C0017152,gastric inflammation
CID000003345,CID000004819,C0031099,periodontitis
CID000003345,CID000125889,C0702166,Acne
CID000003345,CID000003348,C0008325,cholecystitis
CID000003345,CID000005039,C0017152,gastric inflammation
CID000003345,CID000005038,C0017152,gastric inflammation
CID000003345,CID000004634,C0008325,cholecystitis
CID000003345,CID000010631,C0017152,gastric inflammation
CID000003345,CID000087177,C0017152,gastric inflammation
CID000003345,CID000060147,C0008325,cholecystitis
CID000003345,CID000005651,C0026986,myelodysplasia
CID000003345,CID000005656,C0497156,Adenopathy
CID000003345,CID000003559,C0004604,Back Ache
CID000003345,CID000003780,C0038454,apoplexy
CID000003345,CID000004845,C0020538,High blood pressure
CID000003345,CID000005245,C0497156,Adenopathy
CID000003345,CID000003957,C0017152,gastric inflammation
CID000003345,CID000005234,C0008325,cholecystitis
CID000003345,CID003081884,C0011616,contact dermatitis
CID000003345,CID000156419,C0018989,hemiparesis
CID000003345,CID000004425,C0026986,myelodysplasia
CID000003345,CID000004409,C0017152,gastric inflammation
CID000003345,CID000005379,C0017152,gastric inflammation
CID000003345,CID000005372,C0497156,Adenopathy
CID000003345,CID000027991,C0008325,cholecystitis
CID000003345,CID000041781,C0041834,erythema
CID000003345,CID000004112,C0026986,myelodysplasia
CID000003345,CID000003767,C0038454,apoplexy
CID000003345,CID000051263,C0013221,drug toxicity NOS
CID000003345,CID000036339,C0497156,Adenopathy
CID000003345,CID000005523,C0017152,gastric inflammation
CID000003345,CID000004064,C0151611,abnormal EEG
CID000003345,CID000060612,C0151611,abnormal EEG
CID000003345,CID000004539,C0013362,dysarthria
CID000003345,CID000004485,C0008325,cholecystitis
CID000003345,CID000003454,C0042384,angiitis
CID000003345,CID000060815,C0022346,icterus
CID000003345,CID000003385,C0008325,cholecystitis
CID000003345,CID000005717,C0038454,apoplexy
CID000003345,CID000005719,C0497156,Adenopathy
CID000003345,CID000003397,C0040034,thrombocytopenia
CID000003345,CID000003652,C0008325,cholecystitis
CID000003345,CID000003640,C0008325,cholecystitis
CID000003345,CID000005391,C0025637,methaemoglobinaemia
CID000003345,CID000004601,C0497156,Adenopathy
CID000003345,CID000004607,C0002064,respiratory alkalosis
CID000003345,CID000004609,C0008325,cholecystitis
CID000003345,CID000005401,C0017152,gastric inflammation
CID000003345,CID000005402,C0006444,bursitis
CID000003345,CID000005408,C0004604,Back Ache
CID000003345,CID000003562,C0039231,heart rate increased
CID000003345,CID000004812,C0008325,cholecystitis
CID000003345,CID005493444,C0004144,atelectasis
CID000003345,CID000003461,C0008325,cholecystitis
CID000003345,CID000003964,C0011168,deglutition disorder
CID000003345,CID000003961,C0008325,cholecystitis
CID000003345,CID000003962,C0017152,gastric inflammation
CID000003345,CID000077999,C0085602,excessive thirst
CID000003345,CID000077993,C0041834,erythema
CID000003345,CID000005064,C0017152,gastric inflammation
CID000003345,CID000150610,C0750426,increased white blood cell count
CID000003345,CID000005152,C0008325,cholecystitis
CID000003345,CID000004894,C0026986,myelodysplasia
CID000003345,CID000003734,C0014518,Lyell
CID000003345,CID000004917,C0008325,cholecystitis
CID000003345,CID000004911,C0004144,atelectasis
CID000003345,CID000005578,C0013362,dysarthria
CID000003345,CID000072054,C0017152,gastric inflammation
CID000003345,CID000083786,C0008325,cholecystitis
CID000003345,CID000104741,C0017152,gastric inflammation
CID000003345,CID000003403,C0017152,gastric inflammation
CID000003345,CID000003404,C0015230,eruption
CID000003345,CID000004440,C0013221,drug toxicity NOS
CID000003345,CID000004991,C0011168,deglutition disorder
CID000003345,CID000060865,C1260880,rhinorrhea
CID000003345,CID000065999,C0004601,back injury
CID000003345,CID000005732,C0008325,cholecystitis
CID000003345,CID000005731,C0043096,loss of weight
CID000003345,CID000003672,C0008325,cholecystitis
CID000003345,CID005311181,C0235527,right heart failure
CID000003345,CID000013342,C0032285,neumonia
CID000003345,CID000004829,C0008325,cholecystitis
CID000003345,CID000032797,C0041834,erythema
CID000003345,CID000003937,C0017152,gastric inflammation
CID000003345,CID000004158,C0017152,gastric inflammation
CID000003345,CID000443871,C0497156,Adenopathy
CID000003345,CID003002190,C0030193,Pain
CID000003345,CID000005672,C0030193,Pain
CID000003345,CID000071329,C0038999,bulging
CID000003345,CID000004075,C0017152,gastric inflammation
CID000003345,CID000006691,C0497156,Adenopathy
CID000003345,CID000123620,C0004601,back injury
CID000003345,CID000005203,C0017152,gastric inflammation
CID000003345,CID000047725,C0017152,gastric inflammation
CID000003345,CID000003702,C0002994,angioedema
CID000003345,CID000124087,C0008325,cholecystitis
CID000003345,CID000003877,C0030193,Pain
CID000003345,CID000003878,C0004601,back injury
CID000003345,CID000005095,C0004601,back injury
CID000003345,CID000005090,C0008325,cholecystitis
CID000003345,CID000119607,C0017152,gastric inflammation
CID000003345,CID000005352,C0038454,apoplexy
CID000003345,CID000005358,C0008325,cholecystitis
CID000003345,CID000004138,C0038454,apoplexy
CID000003345,CID000003784,C0043096,loss of weight
CID000003345,CID000027686,C0039231,heart rate increased
CID000003345,CID000004499,C0522055,abnormal ECG
CID000003345,CID000004497,C0026848,muscle disorder
CID000003345,CID000004740,C0043096,loss of weight
CID000003345,CID000005070,C0002736,als
CID000003345,CID005329102,C0231807,Dyspnea exertional
CID000003345,CID000003929,C0008325,cholecystitis
CID000003345,CID000003478,C0017152,gastric inflammation
CID000003345,CID000004419,C0043096,loss of weight
CID000003345,CID000060835,C0008325,cholecystitis
CID000003345,CID000060831,C0497156,Adenopathy
CID000003345,CID000004107,C0016665,fracture nonunion
CID000003345,CID000148211,C0497156,Adenopathy
CID000003345,CID000004873,C0008325,cholecystitis
CID000003345,CID000028112,C0043096,loss of weight
CID000003345,CID003062316,C0040034,thrombocytopenia
CID000003345,CID005282044,C0040034,thrombocytopenia
CID000003345,CID000003516,C0017152,gastric inflammation
CID000003345,CID000054688,C0017152,gastric inflammation
CID000003345,CID000004885,C0017152,gastric inflammation
CID000003345,CID000004168,C0025637,methaemoglobinaemia
CID000003345,CID000005514,C0004601,back injury
CID000003345,CID000005515,C0030552,muscle paresis
CID000003345,CID000003826,C0497156,Adenopathy
CID000003345,CID000054454,C0004601,back injury
CID000003345,CID000005496,C0013362,dysarthria
CID000003345,CID000154059,C0043096,loss of weight
CID000003345,CID000115237,C0017672,glossodynia
CID000003345,CID000125017,C0027769,nervous tension
