Entities,Question_Background,Question,Answer,Label
Methylphenidate-Megestrol-Desloratadine,"DRUG 1 NAME: Methylphenidate
DRUG 1 BACKGROUND INFORMATION: Methylphenidate, a CNS stimulant within the phenethylamine and piperidine classes, exerts therapeutic effects in ADHD and narcolepsy predominantly through the inhibition of presynaptic dopamine and norepinephrine transporters, thereby augmenting synaptic monoamine concentrations. Its pharmacodynamics establish a clinical efficacy for enhancing executive functions such as attentional control, inhibitory processes, working memory, and emotional regulation, albeit with a slightly reduced efficacy compared to amphetamines. Pharmacokinetically, methylphenidate is amenable to both oral and transdermal administration with formulation-dependent pharmacokinetics dictating therapeutic windows. Adverse effects span neuropsychiatric and autonomic domains, including, but not limited to, sympathomimetic manifestations such as tachycardia, euphoria, anorexia, and insomnia, while withdrawal is typified by dysphoric and neurovegetative symptoms. Methylphenidate's status as a high-frequency prescription medication is underscored by its extensive dispensation, ranking as the 32nd most prescribed medication in the U.S. as of 2022, available in both branded and generic forms.

DRUG 2 NAME: Megestrol
DRUG 2 BACKGROUND INFORMATION: Megestrol (INNTooltip International Nonproprietary Name, BANTooltip British Approved Name) is a progestin of the 17α-hydroxyprogesterone group which was, until recently, never marketed or used clinically. It is now used for treatments of disease-related weight loss, endometrial cancer, and breast cancer. Its acylated derivative megestrol acetate is also a progestogen, which, in contrast to megestrol itself, has been extensively used as a pharmaceutical drug.

DRUG 3 NAME: Desloratadine
DRUG 3 BACKGROUND INFORMATION: Desloratadine sold under the brand name Aerius among others, is a tricyclic H1 inverse agonist that is used to treat allergies. It is an active metabolite of loratadine.
It was patented in 1984 and came into medical use in 2001. It was brought to the market in the US by Schering Corporation, later named Schering-Plough.

DRUG 1 - DRUG 2 INTERACTION TRIPLE (subject-predicate-object): Methylphenidate-gastric inflammation-Megestrol
DRUG 2 - DRUG 3 INTERACTION TRIPLE (subject-predicate-object): Megestrol-loss of weight-Desloratadine
","A tricyclic H1 inverse agonist used primarily in the treatment of allergies, which also serves as an active metabolite of another well-known antihistamine, is associated with a drug-drug interaction that can lead to weight loss when taken with a progestin from the 17α-hydroxyprogesterone group that has been used in treating endometrial and breast cancer as well as disease-related weight loss. Which drug, fitting this description, is the one involved in this weight loss interaction with the specified progestin?",Desloratadine,1
Famotidine-Metolazone,"DRUG 1 NAME: Famotidine
DRUG 1 BACKGROUND INFORMATION: Famotidine, sold under the brand name Pepcid among others, is a histamine H2 receptor antagonist medication that decreases stomach acid production. It is used to treat peptic ulcer disease, gastroesophageal reflux disease, and Zollinger–Ellison syndrome. It is taken by mouth or by injection into a vein. It begins working within an hour.
Common side effects include headache, abdominal pain, diarrhea or constipation, and dizziness. Serious side effects may include pneumonia and seizures. Use in pregnancy appears safe but has not been well studied, while use during breastfeeding is not recommended.
Famotidine was patented in 1979 and came into medical use in 1985. It is available as a generic medication. In 2022, it was the 49th most commonly prescribed medication in the United States, with more than 13 million prescriptions.

DRUG 2 NAME: Metolazone
DRUG 2 BACKGROUND INFORMATION: Metolazone is a thiazide-like diuretic marketed under the brand names Zytanix, Metoz, Zaroxolyn, and Mykrox. It is primarily used to treat congestive heart failure and high blood pressure. Metolazone indirectly decreases the amount of water reabsorbed into the bloodstream by the kidney, so that blood volume decreases and urine volume increases. This lowers blood pressure and prevents excess fluid accumulation in heart failure. Metolazone is sometimes used together with loop diuretics such as furosemide or bumetanide, but these highly effective combinations can lead to dehydration and electrolyte abnormalities.
It was patented in 1966 and approved for medical use in 1974.

DRUG-DRUG INTERACTION TRIPLE (subject-predicate-object): Famotidine-right heart failure-Metolazone","Which medication, either a histamine H2 receptor antagonist that decreases stomach acid production or a thiazide-like diuretic primarily used for congestive heart failure and hypertension, is specifically associated with the management of right heart failure in combination with the other, according to known drug interactions?",Metolazone,0
Celecoxib-Labetalol-Metoprolol-Acitretin,"DRUG 1 NAME: Celecoxib
DRUG 1 SMILES: CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F

DRUG 2 NAME: Labetalol
DRUG 2 SMILES: CC(CCC1=CC=CC=C1)NCC(C2=CC(=C(C=C2)O)C(=O)N)O

DRUG 3 NAME: Metoprolol
DRUG 3 SMILES: CC(C)NCC(COC1=CC=C(C=C1)CCOC)O

DRUG 4 NAME: Acitretin
DRUG 4 SMILES: CC1=CC(=C(C(=C1C=CC(=CC=CC(=CC(=O)O)C)C)C)C)OC

DRUG 1 - DRUG 2 INTERACTION TRIPLE (subject-predicate-object): Celecoxib-Hydrogen Bonding-Labetalol
DRUG 2 - DRUG 3 INTERACTION TRIPLE (subject-predicate-object): Labetalol-Hydrogen Bonding-Metoprolol
DRUG 3 - DRUG 4 INTERACTION TRIPLE (subject-predicate-object): Metoprolol-π-π Stacking-Acitretin","Which drug, characterized by a polyene aromatic ring with a terminal carboxylic acid and methoxy substituent, engages in a π-π stacking interaction with another compound featuring both ether and isopropylamino groups attached to a phenylpropoxy structure?",Acitretin,5
Aciclovir-Dipyridamole-Sildenafil-Acamprosate,"DRUG 1 NAME: Aciclovir
DRUG 1 BACKGROUND INFORMATION: Aciclovir, an antiviral guanosine analogue, exhibits its therapeutic efficacy predominantly by inhibiting viral DNA polymerase through its metabolization to aciclovir triphosphate, resulting in the cessation of herpesvirus DNA elongation across Herpes Simplex Virus, varicella-zoster, and CMV prophylaxis post-transplantation. Administerable orally, topically, or intravenously, its pharmacokinetic profile necessitates careful consideration in patients with compromised renal or hepatic function due to potential nephrotoxicity and thrombocytopenia. While demonstrating an acceptable safety margin during gestation and lactation, adverse events such as gastrointestinal discomfort and diarrhea are common. Its inclusion in the WHO's Essential Medicines list underscores its global pivotal role in antiviral therapy, with its generic accessibility enhancing universal healthcare implementation.

DRUG 2 NAME: Dipyridamole
DRUG 2 BACKGROUND INFORMATION: Dipyridamole, sold under the brand name Persantine among others, is an antiplatelet drug of the nucleoside transport inhibitor and PDE3 inhibitor class that inhibits blood clot formation when given chronically and causes blood vessel dilation when given at high doses over a short time.

DRUG 3 NAME: Sildenafil
DRUG 3 BACKGROUND INFORMATION: Sildenafil functions primarily as a selective inhibitor of phosphodiesterase type 5 (PDE5), the enzyme responsible for catabolizing cyclic guanosine monophosphate (cGMP) in smooth muscle cells. This pharmacological activity results in the potentiation of nitric oxide-mediated vasodilation, thus enhancing blood flow to the corpus cavernosum and mitigating pulmonary arterial hypertension (PAH) through pulmonary vasodilation. The drug's pharmacokinetics include a rapid onset of action, typically within 20 minutes post-oral administration, and a duration of approximately two hours. Its bioavailability can be achieved via oral, intravenous, or sublingual administration. Concomitant use with nitrates or nitric oxide donors can precipitate severe hypotension, contraindicating concomitant administration. Side effects are often attributable to excessive peripheral vasodilation and can include headache, dyspepsia, facial flushing, and rare, albeit severe, adverse events such as vision or auditory impairment and priapism. Precision in its administration is imperative for individuals with cardiovascular pathology due to potential exacerbation of underlying conditions. Although efficacious in ED and PAH, its utility in female sexual dysfunction remains inconclusive.

DRUG 4 NAME: Acamprosate
DRUG 4 BACKGROUND INFORMATION: Acamprosate, sold under the brand name Campral, is a medication which reduces cravings in alcoholism. It is thought to stabilize chemical signaling in the brain that would otherwise be disrupted by alcohol withdrawal. When used alone, acamprosate is not an effective therapy for alcohol use disorder in most individuals, as it only addresses withdrawal symptoms and not psychological dependence. It facilitates a reduction in alcohol consumption as well as full abstinence when used in combination with psychosocial support or other drugs that address the addictive behavior.
Serious side effects include allergic reactions, abnormal heart rhythms, and low or high blood pressure, while less serious side effects include headaches, insomnia, and impotence. Diarrhea is the most common side effect. It is unclear if use is safe during pregnancy.
It is on the World Health Organization's List of Essential Medicines.

DRUG 1 - DRUG 2 INTERACTION TRIPLE (subject-predicate-object): Aciclovir-eruption-Dipyridamole
DRUG 2 - DRUG 3 INTERACTION TRIPLE (subject-predicate-object): Dipyridamole-weight gain-Sildenafil
DRUG 3 - DRUG 4 INTERACTION TRIPLE (subject-predicate-object): Sildenafil-loss of weight-Acamprosate","A patient being treated for pulmonary arterial hypertension with a medication that enhances nitric oxide-mediated vasodilation and is contraindicated with nitrates is considering adjunct therapy with another agent that is used to reduce cravings in individuals with alcohol use disorder by stabilizing brain chemical signaling during withdrawal. Which adjunct agent, when combined with the pulmonary medication, has been associated with loss of weight according to documented drug-drug interactions?",Acamprosate,2
Naproxen-Minoxidil-Perindopril,"DRUG 1 NAME: Naproxen
DRUG 1 BACKGROUND INFORMATION: Naproxen, a nonsteroidal anti-inflammatory drug (NSAID), exerts its pharmacological effects by non-selectively inhibiting cyclooxygenase (COX) enzymes, thereby attenuating the synthesis of pro-inflammatory prostaglandins, which are pivotal in the pathophysiology of pain, menstrual dysmenorrhea, and inflammatory diseases such as rheumatoid arthritis and gout. Administered orally in both immediate and delayed-release formulations, naproxen reaches therapeutic plasma concentrations within one hour, with a duration of action extending up to twelve hours, facilitating its utility in both acute and chronic settings. The sodium salt variant enhances oral solubility and absorption kinetics. While commonly associated with adverse effects including gastrointestinal discomfort, dizziness, and hypersensitivity reactions, more severe risks include cardiovascular thrombotic events and gastrointestinal bleeding, albeit with potentially a lower myocardial infarction risk relative to other NSAIDs. Its use is contraindicated in the presence of renal impairment and during the third trimester of pregnancy. Metabolic clearance occurs hepatically via biotransformation to inactive metabolites, with excretion primarily renal. Naproxen's widespread prescription, evident from over 7 million prescriptions in 2022 in the U.S., underscores its established therapeutic role, despite the potential for adverse event profiles.

DRUG 2 NAME: Minoxidil
DRUG 2 BACKGROUND INFORMATION: Minoxidil  is a medication used for the treatment of high blood pressure and pattern hair loss. It is an antihypertensive and a vasodilator. It is available as a generic medication by prescription in oral tablet form and over-the-counter as a topical liquid or foam.

DRUG 3 NAME: Perindopril
DRUG 3 BACKGROUND INFORMATION: Perindopril, a potent long-acting angiotensin-converting enzyme (ACE) inhibitor, effectively mitigates hypertensive states, heart failure, and stable coronary artery disease by obstructing angiotensin II synthesis, a critical vasopressor, thereby engendering vasodilation and augmented natriuresis, cumulatively attenuating systemic vascular resistance and volumetric load. The prodrug, perindopril, undergoes hepatic biotransformation to its active moiety, perindoprilat, exerting pharmacological efficacy through increased plasma renin activity and suppressed aldosterone biosynthesis, resulting in enhanced sodium excretion. Administered as perindopril arginine/amlodipine or perindopril erbumine, these formulations remain bioequivalent yet necessitate dosage adjustments for optimal equipotent dosing. Due to teratogenic potential, its usage is contraindicated during gestation, and hypersensitivity reactions alongside adverse events such as persistent cough, cephalalgia, vertigo, gastrointestinal disturbances represent common tolerability issues.

DRUG 1 - DRUG 2 INTERACTION TRIPLE (subject-predicate-object): Naproxen-gastroenteritis viral-Minoxidil
DRUG 2 - DRUG 3 INTERACTION TRIPLE (subject-predicate-object): Minoxidil-thrombocytopenia-Perindopril
",A patient receiving an oral vasodilator used for hypertension and pattern hair loss develops thrombocytopenia when treated concomitantly with an ACE inhibitor that is a prodrug metabolized to an active moiety suppressing aldosterone biosynthesis and used for stable coronary artery disease. Which agent is the ACE inhibitor involved in this drug-drug interaction?,Perindopril,1
Naproxen-Doxazosin,"DRUG 1 NAME: Naproxen
DRUG 1 SMILES: CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O

DRUG 2 NAME: Doxazosin
DRUG 2 SMILES: COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4COC5=CC=CC=C5O4)N)OC

DRUG-DRUG INTERACTION TRIPLE (subject-predicate-object): Naproxen-Hydrogen Bonding-Doxazosin","Considering the two molecules, one being a substituted naphthalene bearing a methoxy and a propionic acid group, and the other a quinazoline derivative fused with a dioxane ring, which molecule is capable of donating a hydrogen bond from its carboxylic acid moiety in their interaction?",Naproxen,3
Dipyridamole-Sildenafil,"DRUG 1 NAME: Dipyridamole
DRUG 1 BACKGROUND INFORMATION: Dipyridamole, sold under the brand name Persantine among others, is an antiplatelet drug of the nucleoside transport inhibitor and PDE3 inhibitor class that inhibits blood clot formation when given chronically and causes blood vessel dilation when given at high doses over a short time.

DRUG 2 NAME: Sildenafil
DRUG 2 BACKGROUND INFORMATION: Sildenafil functions primarily as a selective inhibitor of phosphodiesterase type 5 (PDE5), the enzyme responsible for catabolizing cyclic guanosine monophosphate (cGMP) in smooth muscle cells. This pharmacological activity results in the potentiation of nitric oxide-mediated vasodilation, thus enhancing blood flow to the corpus cavernosum and mitigating pulmonary arterial hypertension (PAH) through pulmonary vasodilation. The drug's pharmacokinetics include a rapid onset of action, typically within 20 minutes post-oral administration, and a duration of approximately two hours. Its bioavailability can be achieved via oral, intravenous, or sublingual administration. Concomitant use with nitrates or nitric oxide donors can precipitate severe hypotension, contraindicating concomitant administration. Side effects are often attributable to excessive peripheral vasodilation and can include headache, dyspepsia, facial flushing, and rare, albeit severe, adverse events such as vision or auditory impairment and priapism. Precision in its administration is imperative for individuals with cardiovascular pathology due to potential exacerbation of underlying conditions. Although efficacious in ED and PAH, its utility in female sexual dysfunction remains inconclusive.

DRUG-DRUG INTERACTION TRIPLE (subject-predicate-object): Dipyridamole-weight gain-Sildenafil","Which drug, when combined with a nucleoside transport and PDE3 inhibitor antiplatelet agent known for its clot inhibition and vasodilatory effects, is associated with a risk of weight gain according to drug interaction data?",Sildenafil,0
Cimetidine-Ibuprofen-Metoprolol-Fulvestrant,"DRUG 1 NAME: Cimetidine
DRUG 1 SMILES: CC1=C(N=CN1)CSCCNC(=NC)NC#N

DRUG 2 NAME: Ibuprofen
DRUG 2 SMILES: CC(C)CC1=CC=C(C=C1)C(C)C(=O)O

DRUG 3 NAME: Metoprolol
DRUG 3 SMILES: CC(C)NCC(COC1=CC=C(C=C1)CCOC)O

DRUG 4 NAME: Fulvestrant
DRUG 4 SMILES: CC12CCC3C(C1CCC2O)C(CC4=C3C=CC(=C4)O)CCCCCCCCCS(=O)CCCC(C(F)(F)F)(F)F

DRUG 1 - DRUG 2 INTERACTION TRIPLE (subject-predicate-object): Cimetidine-Hydrogen bonding-Ibuprofen
DRUG 2 - DRUG 3 INTERACTION TRIPLE (subject-predicate-object): Ibuprofen-Hydrogen Bonding-Metoprolol
DRUG 3 - DRUG 4 INTERACTION TRIPLE (subject-predicate-object): Metoprolol-Hydrogen Bonding-Fulvestrant","Which drug, featuring a steroidal core fused to an aromatic ring with a long alkylthio side chain terminating in a sulfoxide and a highly fluorinated tert-butyl group, forms a hydrogen bond with a beta-adrenoceptor blocker that possesses a secondary alcohol adjacent to a methoxy-substituted aromatic ether, according to their molecular interaction pathway?",Fulvestrant,5
Lamivudine-Metoprolol-Perphenazine-Histamine H1 receptor,"DRUG 1 NAME: Lamivudine
DRUG 1 BACKGROUND INFORMATION: Lamivudine, or 3TC, is a nucleoside reverse transcriptase inhibitor with efficacy against HIV-1, HIV-2, and chronic hepatitis B virus. It functions by competitive inhibition of HIV reverse transcriptase and hepatitis B virus polymerase, disrupting viral DNA synthesis. Clinically, lamivudine is integral to combination antiretroviral therapy, often co-administered with agents such as zidovudine, dolutegravir, and abacavir, and forms part of post-exposure prophylactic regimens. It is available for oral administration as liquid or tablet formulations, maintaining therapeutic flexibility through its dosing independence from food intake. While generally well-tolerated, adverse effects can include gastrointestinal disturbances, cephalalgia, asthenia, and respiratory symptoms; however, clinicians must vigilantly monitor for hepatotoxicity, lactic acidosis, and hepatitis B exacerbations. Suitable for patients over three months and deemed safe in pregnancy, lamivudine is recognized as an essential medicine, underscoring its pivotal role in antiretroviral pharmacotherapy despite potential genotypic resistance mutations.

DRUG 2 NAME: Metoprolol
DRUG 2 BACKGROUND INFORMATION: Metoprolol, a cardioselective β1-adrenergic receptor antagonist, is clinically utilized in the management of angina pectoris, hypertension, tachyarrhythmias, post-myocardial infarction secondary prophylaxis, and migraine prophylaxis. Its therapeutic efficacy is mediated via negative chronotropic and inotropic effects which result in decreased myocardial oxygen demand and improved exercise tolerance. The pharmacokinetics of metoprolol is influenced by hepatic cytochrome P450 2D6 isoenzyme variability leading to significant interpatient variability in drug metabolism, necessitating individualized dosing. Adverse effects prominently include insomnia, asthenia, presyncope, and gastrointestinal disturbances, with higher doses presenting risk for pronounced toxicity. Though teratogenic risk during pregnancy has not been conclusively excluded, its excretion into breast milk is considered clinically insignificant. Metoprolol is widely dispensed, reflecting its inclusion in the WHO's Essential Medicines, and its prescription frequency underscores its pivotal role in cardiovascular therapeutics.

DRUG 3 NAME: Perphenazine
DRUG 3 BACKGROUND INFORMATION: Perphenazine is a typical antipsychotic drug.  Chemically, it is classified as a piperazinyl phenothiazine. Originally marketed in the United States as Trilafon, it has been in clinical use for decades.
Perphenazine is roughly ten times as potent as chlorpromazine at the dopamine-2 (D2) receptor; thus perphenazine is considered a medium-potency antipsychotic.

PROTEIN NAME: Histamine H1 receptor
PROTEIN BACKGROUND INFORMATION: The H1 receptor is a histamine receptor belonging to the family of rhodopsin-like G-protein-coupled receptors. This receptor is activated by the biogenic amine histamine. It is expressed in smooth muscles, on vascular endothelial cells, in the heart, and in the central nervous system. The H1 receptor is linked to an intracellular G-protein (Gq) that activates phospholipase C and the inositol triphosphate (IP3) signalling pathway. Antihistamines, which act on this receptor, are used as anti-allergy drugs. The crystal structure of the receptor has been determined (shown on the right/below) and used to discover new histamine H1 receptor ligands in structure-based virtual screening studies.

DRUG 1 - DRUG 2 INTERACTION TRIPLE (subject-predicate-object): Lamivudine-dysarthria-Metoprolol
DRUG 2 - DRUG 3 INTERACTION TRIPLE (subject-predicate-object): Metoprolol-insulin dependent diabetes mellitus-Perphenazine
DRUG 3 - PROTEIN INTERACTION TRIPLE (subject-predicate-object): Perphenazine-binding and inhibition-Histamine H1 receptor","Which receptor, commonly activated by a biogenic amine and involved in allergic responses, is bound and inhibited by a medium-potency antipsychotic that is chemically a piperazinyl phenothiazine and is about ten times as potent as chlorpromazine at the D2 receptor?",Histamine H1 receptor,8
Ondansetron-Zolpidem,"DRUG 1 NAME: Ondansetron
DRUG 1 BACKGROUND INFORMATION: Ondansetron, a potent antiemetic utilized to mitigate nausea and emesis associated with chemotherapy, radiation, migraine, and surgical procedures, exerts its pharmacological action as a selective serotonin 5-HT3 receptor antagonist. Absence of affinity for dopaminergic and muscarinic acetylcholine receptors precludes extrapyramidal side effects such as akathisia. Administered via oral, intravenous, or intramuscular routes, ondansetron's pharmacokinetic profile is characterized by hepatic metabolism and renal excretion. Adverse effects frequently reported encompass gastrointestinal dysmotility manifesting as diarrhea or constipation, central nervous system manifestations including headache and somnolence, and dermal pruritus, with more severe toxicities including QT interval prolongation on electrocardiographic assessment and anaphylaxis. Although the teratogenic risk is minimal, comprehensive teratological data in gravid populations remain insufficient. Recognized on the WHO's List of Essential Medicines, ondansetron is extensively prescribed, highlighting its clinical utility and incorporation into treatment protocols, with significant utilization confirmed by its high prescription frequency in the United States.

DRUG 2 NAME: Zolpidem
DRUG 2 BACKGROUND INFORMATION: Zolpidem is a nonbenzodiazepine hypnotic agent, distinguished pharmacologically as an imidazopyridine and classified as a Z-drug, primarily indicated for the short-term amelioration of insomnia. Its therapeutic efficacy in decreasing sleep latency, quantified as approximately a 15-minute reduction in sleep onset, is attributed to its function as a positive allosteric modulator of the GABAA receptor, thereby potentiating inhibitory GABAergic transmission in the central nervous system by binding at sites akin to benzodiazepines. Pharmacokinetically, zolpidem exhibits a biphasic elimination with a half-life averaging 2 to 3 hours, extended in hepatic impairment, necessitating careful dose adjustments. Administered orally, it is formulated as immediate-release, extended-release, and sublingual tablets, with dosing typically post-behavioral interventions such as CBT-I and sleep hygiene practices. Adverse effect profiles include, but are not limited to, somnolence, cephalalgia, nausea, and potential neuropsychiatric disturbances like amnesia and visual/auditory hallucinations, warranting consideration of flumazenil antagonism in overdose scenarios albeit primarily managed with supportive measures. Zolpidem's controlled substance designation under Schedule IV in the US reflects its abuse potential, underscored by its high prescription frequency with over 9 million prescriptions annually, placing it as a prominent therapeutic option for sleep disorders.

DRUG-DRUG INTERACTION TRIPLE (subject-predicate-object): Ondansetron-methaemoglobinaemia-Zolpidem","Which medication, known for its nonbenzodiazepine hypnotic properties used to treat insomnia, poses a risk of methaemoglobinaemia when administered concomitantly with the antiemetic that blocks serotonin 5-HT3 receptors?",Zolpidem,0
