STITCH 1,STITCH 2,Polypharmacy Side Effect,Side Effect Name
CID000005453,CID000005978,C0002064,respiratory alkalosis
CID000005453,CID005311048,C0013604,edema
CID000005453,CID000005645,C0035222,Acute Respiratory Distress Syndrome
CID000005453,CID000038904,C0151611,abnormal EEG
CID000003823,CID000004585,C0027769,nervous tension
CID000003823,CID000087177,C0017152,gastric inflammation
CID000003823,CID005481350,C0043096,loss of weight
CID000003823,CID000004691,C0004604,Back Ache
CID000003823,CID000003937,C0231807,Dyspnea exertional
CID000003823,CID000003883,C1510431,Superficial thrombophlebitis
CID000003823,CID000004885,C0011615,allergic dermatitis
CID000003823,CID000003962,C0015230,eruption
CID000003823,CID000062924,C0042384,angiitis
CID000003823,CID000012536,C0043094,weight gain
CID000003823,CID000003958,C0702166,Acne
CID000003823,CID000010631,C0038454,apoplexy
CID000003823,CID000005245,C0038454,apoplexy
CID000003823,CID000004679,C0043094,weight gain
CID000003823,CID000004829,C0008350,cholelithiasis
CID000003823,CID003468412,C0030193,Pain
CID000003823,CID000004205,C0004144,atelectasis
CID000003823,CID000054454,C0013362,dysarthria
CID000003823,CID000005544,C0020433,Bilirubinaemia
CID000003823,CID000077999,C0038454,apoplexy
CID000003823,CID000019090,C0043096,loss of weight
CID000003823,CID000065999,C0040034,thrombocytopenia
CID000003823,CID000005391,C0015230,eruption
CID000003823,CID000004894,C0001339,acute pancreatitis
CID000003823,CID000005732,C0004604,Back Ache
CID000003823,CID000004927,C0038454,apoplexy
CID000003823,CID000004173,C0041834,erythema
CID000003823,CID000005076,C0043096,loss of weight
CID000003823,CID000005523,C0030193,Pain
CID000003823,CID000004189,C0011168,deglutition disorder
CID000003823,CID000004510,C0043094,weight gain
CID000003823,CID000005073,C0038454,apoplexy
CID000003823,CID000005650,C0017152,gastric inflammation
CID000003823,CID000003890,C0042384,angiitis
CID000003823,CID000004889,C0231807,Dyspnea exertional
CID000003823,CID005311297,C0012833,dizziness
CID000003823,CID000004900,C0041834,erythema
CID000003823,CID000004158,C0520474,aseptic necrosis bone
CID000003823,CID000003961,C0042384,angiitis
