item_id_a,item_id_b,protein_name,protein_desc
CID000002083,9606.ENSP00000363596,CNR2,"Cannabinoid receptor 2; Heterotrimeric G protein-coupled receptor for endocannabinoid 2-arachidonoylglycerol mediating inhibition of adenylate cyclase. May function in inflammatory response, nociceptive transmission and bone homeostasis."
CID000002083,9606.ENSP00000458791,GPR139,Probable G-protein coupled receptor 139; Orphan receptor. Seems to act through a G(q/11)-mediated pathway.
CID000002083,9606.ENSP00000284674,GPR26,"G-protein coupled receptor 26; Orphan receptor. Displays a significant level of constitutive activity. Its effect is mediated by G(s)-alpha protein that stimulate adenylate cyclase, resulting in an elevation of intracellular cAMP."
CID000002083,9606.ENSP00000249016,MCHR1,"Melanin-concentrating hormone receptor 1; Receptor for melanin-concentrating hormone, coupled to both G proteins that inhibit adenylyl cyclase and G proteins that activate phosphoinositide hydrolysis; Belongs to the G-protein coupled receptor 1 family."
CID000002083,9606.ENSP00000362746,GPR21,Probable G-protein coupled receptor 21; Orphan receptor.
CID000002083,9606.ENSP00000302676,GPR22,G-protein coupled receptor 22; Orphan G-protein coupled receptor. Seems to act through a G(i)/G(o) mediated pathway. May be involved in ciliogenesis (By similarity).
CID000002083,9606.ENSP00000498976,GPR19,Probable G-protein coupled receptor 19; Orphan receptor.
CID000002083,9606.ENSP00000314223,GPR88,"Probable G-protein coupled receptor 88; Probable G-protein coupled receptor implicated in a large repertoire of behavioral responses that engage motor activities, spatial learning, and emotional processing. May play a role in the regulation of cognitive and motor function."
CID000002083,9606.ENSP00000304501,ADORA2B,Adenosine receptor A2b; Receptor for adenosine. The activity of this receptor is mediated by G proteins which activate adenylyl cyclase.
CID000002083,9606.ENSP00000480012,ADORA2A,Adenosine receptor A2a; Receptor for adenosine (By similarity). The activity of this receptor is mediated by G proteins which activate adenylyl cyclase (By similarity); Belongs to the G-protein coupled receptor 1 family.
CID000002083,9606.ENSP00000356205,ADORA1,Adenosine receptor A1; Receptor for adenosine. The activity of this receptor is mediated by G proteins which inhibit adenylyl cyclase; Belongs to the G-protein coupled receptor 1 family.
CID000002083,9606.ENSP00000314992,RRH,Visual pigment-like receptor peropsin; May play a role in rpe physiology either by detecting light directly or by monitoring the concentration of retinoids or other photoreceptor-derived compounds.
CID000002083,9606.ENSP00000356908,TAAR2,Trace amine-associated receptor 2; Orphan receptor; Belongs to the G-protein coupled receptor 1 family.
CID000002083,9606.ENSP00000356251,GPR37L1,"G-protein coupled receptor 37-like 1; G-protein coupled receptor. Has been shown to bind the neuroprotective and glioprotective factor prosaposin (PSAP), leading to endocytosis followed by an ERK phosphorylation cascade. However, other studies have shown that prosaposin does not increase activity. It has been suggested that GPR37L1 is a constitutively active receptor which signals through the guanine nucleotide-binding protein G(s) subunit alpha. Participates in the regulation of postnatal cerebellar development by modulating the Shh pathway (By similarity). Regulates baseline blood pr [...] "
CID000002083,9606.ENSP00000234961,OPRD1,"Delta-type opioid receptor; G-protein coupled receptor that functions as receptor for endogenous enkephalins and for a subset of other opioids. Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of down-stream effectors, such as adenylate cyclase. Signaling leads to the inhibition of adenylate cyclase activity. Inhibits neurotransmitter release by reducing calcium ion currents and increasing potassium ion conductance. Plays a role in the perception of pain and in opiate-mediated analgesia.  [...] "
CID000002083,9606.ENSP00000395704,CXCR6,C-X-C chemokine receptor type 6; Receptor for the C-X-C chemokine CXCL16. Used as a coreceptor by SIVs and by strains of HIV-2 and m-tropic HIV-1.
